Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_14682,,thioesterase,17,17,1.0,1,16476,,,,426,438,433.7647058823529,AEKEPN_01150,HMDFDK_14205,DGIGOC_16645,OELDID_14885,NDFCFG_28570,NFOGGK_02430,DILMCD_02235,CJMOAC_21815,GGGPIC_02305,KLDNLM_02995,KAGCPN_02525,NDMAAC_02520,CELEIN_01325,FNPKGJ_01410,OFJEOJ_28755,OGPOLJ_01400,MOKLEP_09115
rpmD,rpmD,50S ribosomal protein L30,17,17,1.0,1,16475,,,,177,183,177.35294117647058,AEKEPN_28230,HMDFDK_18450,DGIGOC_21380,OELDID_10150,NDFCFG_03560,NFOGGK_26345,DILMCD_06930,CJMOAC_04175,GGGPIC_25125,KLDNLM_26745,KAGCPN_26555,NDMAAC_26555,CELEIN_26380,FNPKGJ_27855,OFJEOJ_03505,OGPOLJ_27615,MOKLEP_13330
tolB,tolB,Tol-Pal system beta propeller repeat protein TolB,17,17,1.0,1,16469,,,,1245,1302,1275.8823529411766,AEKEPN_25115,HMDFDK_21620,DGIGOC_24940,OELDID_06590,NDFCFG_06450,NFOGGK_22785,DILMCD_10485,CJMOAC_08045,GGGPIC_22220,KLDNLM_23250,KAGCPN_23020,NDMAAC_23025,CELEIN_22645,FNPKGJ_24780,OFJEOJ_07480,OGPOLJ_24520,MOKLEP_06020
ruvX,ruvX,Holliday junction resolvase RuvX,17,17,1.0,1,16462,,,,429,447,438.0,AEKEPN_29615,HMDFDK_17200,DGIGOC_20070,OELDID_11460,NDFCFG_02280,NFOGGK_27655,DILMCD_05645,CJMOAC_02780,GGGPIC_26435,KLDNLM_28060,KAGCPN_27890,NDMAAC_27890,CELEIN_27690,FNPKGJ_29150,OFJEOJ_01885,OGPOLJ_28900,MOKLEP_11985
hemH,hemH,ferrochelatase,17,17,1.0,1,16454,,,,1029,1029,1029.0,AEKEPN_26555,HMDFDK_19940,DGIGOC_23130,OELDID_08400,NDFCFG_05155,NFOGGK_24595,DILMCD_08725,CJMOAC_06245,GGGPIC_04705,KLDNLM_25050,KAGCPN_24590,NDMAAC_24600,CELEIN_24580,FNPKGJ_04170,OFJEOJ_05620,OGPOLJ_03850,MOKLEP_00725
group_14663,,RnfH family protein,17,17,1.0,1,16453,,,,288,363,314.8235294117647,AEKEPN_03815,HMDFDK_11785,DGIGOC_14050,OELDID_17480,NDFCFG_26225,NFOGGK_05025,DILMCD_22335,CJMOAC_20555,GGGPIC_23940,KLDNLM_05505,KAGCPN_05120,NDMAAC_05115,CELEIN_03975,FNPKGJ_26720,OFJEOJ_26305,OGPOLJ_26425,MOKLEP_07155
group_14659,,acyltransferase,17,17,1.0,1,16449,,,,1032,1032,1032.0,0_refound_2804,1_refound_6904,2_refound_11197,3_refound_15275,4_refound_19253,5_refound_23548,6_refound_27721,7_refound_31711,8_refound_35794,9_refound_39956,10_refound_44124,11_refound_48365,12_refound_52690,13_refound_56795,14_refound_60885,15_refound_65113,MOKLEP_03130
trmD,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,17,17,1.0,1,16446,,,,753,774,754.2352941176471,AEKEPN_25835,HMDFDK_10500,DGIGOC_12665,OELDID_18865,NDFCFG_05765,NFOGGK_06410,DILMCD_23695,CJMOAC_19165,GGGPIC_22730,KLDNLM_06775,KAGCPN_06260,NDMAAC_06250,CELEIN_05410,FNPKGJ_25290,OFJEOJ_24925,OGPOLJ_25035,MOKLEP_15375
group_14647,,ISPpu10 transposase,17,17,1.0,1,16436,,,,690,690,690.0,0_refound_2253,1_refound_6365,2_refound_10590,3_refound_14666,4_refound_18731,5_refound_22943,6_refound_27074,7_refound_31094,8_refound_35217,9_refound_39420,10_refound_43553,11_refound_47786,CELEIN_02455,13_refound_56378,14_refound_60506,15_refound_64694,16_refound_68033
group_14644,,hypothetical protein,17,17,1.0,1,16433,,,,591,675,658.2,0_refound_3744,1_refound_7958,DGIGOC_17835,OELDID_13695,4_refound_20322,NFOGGK_01240,DILMCD_03520,7_refound_32693,8_refound_36856,9_refound_40973,10_refound_45166,11_refound_49406,CELEIN_00110,13_refound_57769,14_refound_61888,15_refound_66090,16_refound_69101
group_14641,,hypothetical protein;DUF904 domain-containing protein,17,17,1.0,1,16430,,,,210,312,216.0,AEKEPN_30365,HMDFDK_16570,DGIGOC_19455,OELDID_12075,NDFCFG_01670,NFOGGK_28270,DILMCD_05020,CJMOAC_02080,GGGPIC_27055,KLDNLM_28630,KAGCPN_28550,NDMAAC_28545,CELEIN_28310,FNPKGJ_29765,OFJEOJ_01270,OGPOLJ_29525,MOKLEP_09500
rsgA,rsgA,small ribosomal subunit biogenesis GTPase RsgA,17,17,1.0,1,16429,,,,1032,1032,1032.0,AEKEPN_02575,HMDFDK_13030,DGIGOC_15315,OELDID_16215,NDFCFG_27335,NFOGGK_03760,DILMCD_00930,CJMOAC_23215,GGGPIC_03440,KLDNLM_04280,KAGCPN_03895,NDMAAC_03890,CELEIN_02605,FNPKGJ_02855,OFJEOJ_27555,OGPOLJ_02615,MOKLEP_08215
cysQ,cysQ,3'(2')5'-bisphosphate nucleotidase CysQ,17,17,1.0,1,16426,,,,819,843,841.5882352941177,AEKEPN_01195,HMDFDK_14160,DGIGOC_16605,OELDID_14925,NDFCFG_28525,NFOGGK_02470,DILMCD_02185,CJMOAC_21855,GGGPIC_02345,KLDNLM_03040,KAGCPN_02570,NDMAAC_02565,CELEIN_01370,FNPKGJ_01455,OFJEOJ_28710,OGPOLJ_01445,MOKLEP_09085
yceD,;yceD,Large ribosomal RNA subunit accumulation protein YceD;metal-binding protein,17,17,1.0,1,16421,,,,396,531,523.0588235294117,AEKEPN_23860,HMDFDK_07295,DGIGOC_26250,OELDID_05280,NDFCFG_22965,NFOGGK_21485,DILMCD_11880,CJMOAC_26710,GGGPIC_21140,KLDNLM_21875,KAGCPN_20940,NDMAAC_20950,CELEIN_21335,FNPKGJ_23750,OFJEOJ_21425,OGPOLJ_23505,MOKLEP_05105
group_14633,,sorbosone dehydrogenase;GSDH domain-containing protein,17,18,1.0588235294117647,1,16419,,,,609,1329,1252.0588235294117,AEKEPN_08535,HMDFDK_22370,DGIGOC_09465,OELDID_22065,NDFCFG_20975,NFOGGK_09610,DILMCD_26325,CJMOAC_09280,GGGPIC_20105,KLDNLM_10080;KLDNLM_10085,KAGCPN_22040,NDMAAC_22045,CELEIN_08715,FNPKGJ_22575,OFJEOJ_08670,OGPOLJ_22445,16_refound_69092
group_14626,,twitching motility protein PilT,17,17,1.0,1,16412,,,,1035,1035,1035.0,AEKEPN_29645,HMDFDK_17170,DGIGOC_20040,OELDID_11490,NDFCFG_02250,NFOGGK_27685,DILMCD_05615,CJMOAC_02750,GGGPIC_26465,KLDNLM_28090,KAGCPN_27920,NDMAAC_27920,CELEIN_27720,FNPKGJ_29180,OFJEOJ_01855,OGPOLJ_28930,MOKLEP_11955
group_14625,argC,N-acetyl-gamma-glutamyl-phosphate reductase,17,17,1.0,1,16411,,,,1035,1035,1035.0,AEKEPN_28480,HMDFDK_18195,DGIGOC_21125,OELDID_10405,NDFCFG_03310,NFOGGK_26600,DILMCD_06680,CJMOAC_03925,GGGPIC_25375,KLDNLM_27000,KAGCPN_26810,NDMAAC_26810,CELEIN_26635,FNPKGJ_28105,OFJEOJ_03330,OGPOLJ_27865,MOKLEP_13075
group_14622,,hypothetical protein,17,17,1.0,1,16408,,,,141,156,150.9375,AEKEPN_30385,HMDFDK_16550,DGIGOC_19435,OELDID_12095,NDFCFG_01650,NFOGGK_28290,DILMCD_05000,CJMOAC_02060,8_refound_36845,KLDNLM_28650,KAGCPN_28570,NDMAAC_28565,CELEIN_28330,FNPKGJ_29785,OFJEOJ_01250,OGPOLJ_29545,MOKLEP_09520
zapA,zapA,cell division protein ZapA,17,17,1.0,1,16406,,,,312,324,323.29411764705884,AEKEPN_30370,HMDFDK_16565,DGIGOC_19450,OELDID_12080,NDFCFG_01665,NFOGGK_28275,DILMCD_05015,CJMOAC_02075,GGGPIC_27060,KLDNLM_28635,KAGCPN_28555,NDMAAC_28550,CELEIN_28315,FNPKGJ_29770,OFJEOJ_01265,OGPOLJ_29530,MOKLEP_09505
group_14620,leuS,leucine--tRNA ligase,17,17,1.0,1,16405,,,,2607,2739,2622.529411764706,AEKEPN_27725,HMDFDK_18915,DGIGOC_21920,OELDID_09610,NDFCFG_04050,NFOGGK_25805,DILMCD_07475,CJMOAC_04720,GGGPIC_24580,KLDNLM_26175,KAGCPN_25850,NDMAAC_25860,CELEIN_25840,FNPKGJ_27365,OFJEOJ_04105,OGPOLJ_27120,MOKLEP_08080
group_14619,,Pas pac sensor protein;PAS domain-containing protein,17,17,1.0,1,16404,,,,465,510,477.5625,AEKEPN_04520,HMDFDK_11110,DGIGOC_13290,OELDID_18240,NDFCFG_25545,NFOGGK_05785,DILMCD_23035,CJMOAC_19880,GGGPIC_23270,KLDNLM_06235,KAGCPN_24390,NDMAAC_24400,CELEIN_04700,FNPKGJ_26055,OFJEOJ_25560,OGPOLJ_25760,16_refound_69088
group_14611,,ABC transporter substrate-binding protein,17,17,1.0,1,16396,,,,741,759,746.625,AEKEPN_28015,HMDFDK_18660,DGIGOC_21635,OELDID_09895,NDFCFG_03775,NFOGGK_26090,DILMCD_07170,CJMOAC_04420,GGGPIC_24870,KLDNLM_26475,KAGCPN_26315,NDMAAC_26315,CELEIN_26140,FNPKGJ_27645,OFJEOJ_03710,OGPOLJ_27405,16_refound_69081
holA,holA,DNA polymerase III subunit delta,17,17,1.0,1,16395,,,,1038,1038,1038.0,AEKEPN_27735,HMDFDK_18905,DGIGOC_21910,OELDID_09620,NDFCFG_04040,NFOGGK_25815,DILMCD_07465,CJMOAC_04710,GGGPIC_24590,KLDNLM_26185,KAGCPN_25860,NDMAAC_25870,CELEIN_25850,FNPKGJ_27375,OFJEOJ_04095,OGPOLJ_27130,MOKLEP_08090
mreB,mreB,rod shape-determining protein MreB,17,17,1.0,1,16391,,,,1038,1038,1038.0,AEKEPN_04215,HMDFDK_11385,DGIGOC_13570,OELDID_17960,NDFCFG_25825,NFOGGK_05505,DILMCD_22745,CJMOAC_20165,GGGPIC_05260,KLDNLM_05915,KAGCPN_05540,NDMAAC_05530,CELEIN_04410,FNPKGJ_04730,OFJEOJ_25835,OGPOLJ_04400,MOKLEP_14515
group_14607,,MlaA lipoprotein;Putative phospholipid-binding lipoprotein MlaA,17,17,1.0,1,16390,,,,687,702,700.2352941176471,AEKEPN_09885,HMDFDK_24770,DGIGOC_27780,OELDID_03750,NDFCFG_09410,NFOGGK_19955,DILMCD_13380,CJMOAC_27690,GGGPIC_08730,KLDNLM_12240,KAGCPN_10640,NDMAAC_10635,CELEIN_19805,FNPKGJ_08250,OFJEOJ_20255,OGPOLJ_07920,MOKLEP_16735
group_14605,,Pilus assembly protein PilP,17,17,1.0,1,16388,,,,528,540,529.7142857142857,AEKEPN_01975,HMDFDK_13560,DGIGOC_15860,OELDID_15670,NDFCFG_27825,NFOGGK_03215,DILMCD_01470,CJMOAC_22670,8_refound_36842,KLDNLM_03725,KAGCPN_03240,NDMAAC_03235,CELEIN_02050,13_refound_57754,OFJEOJ_28050,15_refound_66078,MOKLEP_12770
ftsK,;ftsK,cell division protein FtsK;DNA translocase FtsK,17,17,1.0,1,16387,,,,2328,2412,2362.5882352941176,AEKEPN_20790,HMDFDK_25300,DGIGOC_07130,OELDID_24400,NDFCFG_10520,NFOGGK_11945,DILMCD_15040,CJMOAC_12120,GGGPIC_17035,KLDNLM_19455,KAGCPN_18500,NDMAAC_18495,CELEIN_18075,FNPKGJ_17955,OFJEOJ_11880,OGPOLJ_18915,MOKLEP_18205
mnmA,mnmA,tRNA 2-thiouridine(34) synthase MnmA,17,17,1.0,1,16377,,,,1074,1146,1137.5294117647059,AEKEPN_20845,HMDFDK_25245,DGIGOC_07190,OELDID_24340,NDFCFG_10460,NFOGGK_11885,DILMCD_14975,CJMOAC_12065,GGGPIC_17085,KLDNLM_19510,KAGCPN_18560,NDMAAC_18555,CELEIN_18135,FNPKGJ_18005,OFJEOJ_11825,OGPOLJ_18965,MOKLEP_18150
group_14595,,Leucyl-tRNA synthetase,17,17,1.0,1,16376,,,,177,183,182.2941176470588,AEKEPN_25660,HMDFDK_21120,DGIGOC_24365,OELDID_07165,NDFCFG_05925,NFOGGK_23365,DILMCD_09900,CJMOAC_07580,GGGPIC_06680,KLDNLM_23815,KAGCPN_22770,NDMAAC_22775,CELEIN_23200,FNPKGJ_06190,OFJEOJ_06975,OGPOLJ_05850,MOKLEP_15435
group_14594,,NADH:quinone oxidoreductase;Electron transport complex protein rnfE,17,17,1.0,1,16375,,,,552,618,588.2727272727273,AEKEPN_25650,HMDFDK_21130,DGIGOC_24375,OELDID_07155,NDFCFG_05935,NFOGGK_23355,DILMCD_09910,CJMOAC_07590,8_refound_36838,KLDNLM_23805,10_refound_45143,11_refound_49383,CELEIN_23190,13_refound_57749,OFJEOJ_06985,15_refound_66074,16_refound_69079
group_14592,,peptidase C13,17,17,1.0,1,16373,,,,1677,1728,1725.0,AEKEPN_27860,HMDFDK_18795,DGIGOC_21795,OELDID_09735,NDFCFG_03920,NFOGGK_25930,DILMCD_07320,CJMOAC_04600,GGGPIC_24705,KLDNLM_26295,KAGCPN_25970,NDMAAC_25980,CELEIN_25985,FNPKGJ_27490,OFJEOJ_03985,OGPOLJ_27245,MOKLEP_08195
cobB,cobB;,cobyrinate ac-diamide synthase,17,17,1.0,1,16371,,,,1314,1404,1382.2941176470588,AEKEPN_08550,HMDFDK_22380,DGIGOC_09450,OELDID_22080,NDFCFG_20965,NFOGGK_09625,DILMCD_26340,CJMOAC_09295,GGGPIC_20095,KLDNLM_10100,KAGCPN_22025,NDMAAC_22030,CELEIN_08730,FNPKGJ_22565,OFJEOJ_08685,OGPOLJ_22435,MOKLEP_16030
group_14587,,cyanate transporter,17,17,1.0,1,16367,,,,1266,1317,1307.4375,AEKEPN_25945,HMDFDK_10720,DGIGOC_12870,OELDID_18660,NDFCFG_05680,NFOGGK_06205,DILMCD_23470,CJMOAC_19370,GGGPIC_05960,KLDNLM_06585,KAGCPN_23700,NDMAAC_23710,CELEIN_05165,FNPKGJ_05440,OFJEOJ_25135,OGPOLJ_05110,16_refound_69074
group_14585,,DUF2914 domain-containing protein,17,17,1.0,1,16365,,,,1044,1044,1044.0,AEKEPN_00175,HMDFDK_15020,DGIGOC_17760,OELDID_13770,NDFCFG_00385,NFOGGK_01315,DILMCD_03445,CJMOAC_00175,GGGPIC_01390,KLDNLM_00840,KAGCPN_01230,NDMAAC_01225,CELEIN_00185,FNPKGJ_00495,OFJEOJ_29720,OGPOLJ_00490,16_refound_66421
lysM,lysM,peptidoglycan-binding protein LysM;Peptidoglycan-binding protein LysM,17,17,1.0,1,16362,,,,441,450,442.125,AEKEPN_01180,HMDFDK_14175,DGIGOC_16620,OELDID_14910,NDFCFG_28540,NFOGGK_02455,DILMCD_02200,CJMOAC_21840,GGGPIC_02330,KLDNLM_03025,KAGCPN_02555,NDMAAC_02550,CELEIN_01355,FNPKGJ_01440,OFJEOJ_28725,OGPOLJ_01430,16_refound_69071
ccmC,ccmC,heme ABC transporter permease,17,17,1.0,1,16359,,,,756,783,759.1764705882352,AEKEPN_08155,HMDFDK_07835,DGIGOC_09815,OELDID_21715,NDFCFG_21335,NFOGGK_09260,DILMCD_26015,CJMOAC_29735,GGGPIC_09460,KLDNLM_09780,KAGCPN_09125,NDMAAC_09120,CELEIN_08405,FNPKGJ_09485,OFJEOJ_22065,OGPOLJ_08840,MOKLEP_04750
ftsY,ftsY,signal recognition particle-docking protein FtsY,17,17,1.0,1,16358,,,,1299,1554,1495.0588235294117,AEKEPN_29740,HMDFDK_17075,DGIGOC_19945,OELDID_11585,NDFCFG_02160,NFOGGK_27780,DILMCD_05520,CJMOAC_02650,GGGPIC_26555,KLDNLM_28185,KAGCPN_28015,NDMAAC_28015,CELEIN_27820,FNPKGJ_29270,OFJEOJ_01755,OGPOLJ_29020,MOKLEP_11845
rsd,rsd,sigma D regulator,17,17,1.0,1,16357,,,,459,471,460.4117647058824,AEKEPN_30550,HMDFDK_16405,DGIGOC_19225,OELDID_12305,NDFCFG_01525,NFOGGK_28500,DILMCD_04820,CJMOAC_01925,GGGPIC_27265,KLDNLM_28840,KAGCPN_28750,NDMAAC_28745,CELEIN_28525,FNPKGJ_30005,OFJEOJ_01090,OGPOLJ_29760,MOKLEP_12630
ccoS,ccoS,cbb3-type cytochrome oxidase assembly protein CcoS,17,17,1.0,1,16352,,,,213,231,218.64705882352942,AEKEPN_09600,HMDFDK_24485,DGIGOC_08510,OELDID_23020,NDFCFG_09025,NFOGGK_10565,DILMCD_27275,CJMOAC_27400,GGGPIC_20445,KLDNLM_11140,KAGCPN_10350,NDMAAC_10345,CELEIN_09655,FNPKGJ_22925,OFJEOJ_20535,OGPOLJ_22790,MOKLEP_02130
group_14577,,Fic family protein,17,17,1.0,1,16351,,,,1047,1047,1047.0,0_refound_624,1_refound_4821,DGIGOC_15300,OELDID_16230,4_refound_17469,NFOGGK_03775,6_refound_25686,7_refound_29929,8_refound_34088,9_refound_38195,10_refound_42318,11_refound_46548,12_refound_50706,13_refound_54990,14_refound_59053,15_refound_63305,16_refound_67295
group_14575,,hypothetical protein,17,17,1.0,1,16349,,,,279,312,289.5,AEKEPN_07235,HMDFDK_08545,DGIGOC_25770,OELDID_05760,NDFCFG_22210,NFOGGK_21955,DILMCD_25590,CJMOAC_16995,GGGPIC_08475,KLDNLM_08850,KAGCPN_08415,NDMAAC_08410,CELEIN_07415,FNPKGJ_07985,OFJEOJ_23020,OGPOLJ_07655,16_refound_69066
group_14573,pyrC,dihydroorotase,17,17,1.0,1,16347,,,,1047,1047,1047.0,AEKEPN_25685,HMDFDK_21095,DGIGOC_24340,OELDID_07190,NDFCFG_05900,NFOGGK_23390,DILMCD_09875,CJMOAC_07560,GGGPIC_06660,KLDNLM_23840,KAGCPN_22795,NDMAAC_22800,CELEIN_23225,FNPKGJ_06170,OFJEOJ_06955,OGPOLJ_05830,MOKLEP_15415
group_14571,,MerR family transcriptional regulator,17,17,1.0,1,16345,,,,351,366,356.625,AEKEPN_03400,HMDFDK_12225,2_refound_12102,3_refound_16177,NDFCFG_26590,5_refound_24447,DILMCD_00070,7_refound_32671,8_refound_36829,KLDNLM_05100,KAGCPN_04650,NDMAAC_04645,CELEIN_03530,13_refound_57740,14_refound_61861,15_refound_66065,16_refound_69061
group_14570,flgI,Flagellar P-ring protein,17,17,1.0,1,16344,,,,1089,1116,1112.8235294117646,AEKEPN_07875,HMDFDK_08085,DGIGOC_10165,OELDID_21365,NDFCFG_21590,NFOGGK_08910,DILMCD_28825,CJMOAC_29400,GGGPIC_19905,KLDNLM_09445,KAGCPN_08870,NDMAAC_08865,CELEIN_07995,FNPKGJ_22375,OFJEOJ_22385,OGPOLJ_22245,MOKLEP_05520
group_14568,,DNA-binding response regulator;Transcriptional regulatory protein OmpR,17,17,1.0,1,16341,,,,771,831,799.0,AEKEPN_24075,1_refound_7927,DGIGOC_26040,OELDID_05490,NDFCFG_23155,NFOGGK_21685,DILMCD_11665,CJMOAC_30090,GGGPIC_09810,KLDNLM_22205,KAGCPN_21245,NDMAAC_21250,CELEIN_21540,FNPKGJ_09940,OFJEOJ_21645,OGPOLJ_09295,16_refound_69058
crp,crp,cAMP-activated global transcriptional regulator CRP,17,17,1.0,1,16340,,,,645,708,648.7058823529412,AEKEPN_28525,HMDFDK_18155,DGIGOC_21080,OELDID_10450,NDFCFG_03265,NFOGGK_26645,DILMCD_06635,CJMOAC_03885,GGGPIC_25415,KLDNLM_27045,KAGCPN_26850,NDMAAC_26850,CELEIN_26680,FNPKGJ_28145,OFJEOJ_03290,OGPOLJ_27905,MOKLEP_13040
trpD,trpD,Anthranilate phosphoribosyltransferase,17,17,1.0,1,16339,,,,1050,1050,1050.0,AEKEPN_28540,HMDFDK_18140,DGIGOC_21065,OELDID_10465,NDFCFG_03250,NFOGGK_26660,DILMCD_06620,CJMOAC_03870,GGGPIC_25430,KLDNLM_27060,KAGCPN_26865,NDMAAC_26865,CELEIN_26695,FNPKGJ_28160,OFJEOJ_03275,OGPOLJ_27920,MOKLEP_13030
group_14567,,peptidase P60,17,17,1.0,1,16338,,,,618,648,630.1875,AEKEPN_08525,HMDFDK_22355,DGIGOC_09475,OELDID_22055,NDFCFG_20990,NFOGGK_09600,DILMCD_26315,CJMOAC_09265,GGGPIC_20115,KLDNLM_10065,KAGCPN_22050,NDMAAC_22055,CELEIN_08705,FNPKGJ_22585,OFJEOJ_08660,OGPOLJ_22455,16_refound_69056
aat,aat,leucyl/phenylalanyl-tRNA--protein transferase,17,17,1.0,1,16336,,,,627,732,679.4117647058823,AEKEPN_20800,HMDFDK_25290,DGIGOC_07140,OELDID_24390,NDFCFG_10505,NFOGGK_11935,DILMCD_15025,CJMOAC_12110,GGGPIC_17040,KLDNLM_19465,KAGCPN_18510,NDMAAC_18505,CELEIN_18090,FNPKGJ_17960,OFJEOJ_11870,OGPOLJ_18920,MOKLEP_18195
group_14566,,antibiotic biosynthesis monooxygenase,17,17,1.0,1,16335,,,,558,570,569.25,AEKEPN_04505,HMDFDK_11125,DGIGOC_13305,OELDID_18225,NDFCFG_25560,NFOGGK_05770,DILMCD_23020,CJMOAC_19895,GGGPIC_23285,KLDNLM_06220,KAGCPN_24405,NDMAAC_24415,CELEIN_04685,FNPKGJ_26070,OFJEOJ_25575,OGPOLJ_25775,16_refound_69053
group_14560,,hypothetical protein,17,17,1.0,1,16328,,,,171,177,172.5,AEKEPN_17140,HMDFDK_00485,DGIGOC_05060,OELDID_26470,NDFCFG_16235,NFOGGK_14010,DILMCD_17030,CJMOAC_25450,GGGPIC_13740,KLDNLM_16315,KAGCPN_17700,NDMAAC_17695,CELEIN_16050,FNPKGJ_14005,OFJEOJ_13300,OGPOLJ_14875,16_refound_69047
group_14557,,DUF423 domain-containing protein,17,17,1.0,1,16325,,,,375,384,380.8235294117647,AEKEPN_29715,HMDFDK_17100,DGIGOC_19970,OELDID_11560,NDFCFG_02185,NFOGGK_27755,DILMCD_05545,CJMOAC_02675,GGGPIC_26530,KLDNLM_28160,KAGCPN_27990,NDMAAC_27990,CELEIN_27795,FNPKGJ_29245,OFJEOJ_01780,OGPOLJ_28995,MOKLEP_11880
lptA,lptA,lipopolysaccharide transport periplasmic protein LptA,17,17,1.0,1,16324,,,,534,549,546.3529411764706,AEKEPN_04320,HMDFDK_11280,DGIGOC_13465,OELDID_18065,NDFCFG_25720,NFOGGK_05610,DILMCD_22850,CJMOAC_20060,GGGPIC_05365,KLDNLM_06020,KAGCPN_05645,NDMAAC_05635,CELEIN_04515,FNPKGJ_04835,OFJEOJ_25730,OGPOLJ_04505,MOKLEP_14600
rpoN,rpoN,RNA polymerase factor sigma-54,17,17,1.0,1,16323,,,,1470,1506,1480.5882352941176,AEKEPN_04310,HMDFDK_11290,DGIGOC_13475,OELDID_18055,NDFCFG_25730,NFOGGK_05600,DILMCD_22840,CJMOAC_20070,GGGPIC_05355,KLDNLM_06010,KAGCPN_05635,NDMAAC_05625,CELEIN_04505,FNPKGJ_04825,OFJEOJ_25740,OGPOLJ_04495,MOKLEP_14590
group_14556,,two-component sensor histidine kinase,17,17,1.0,1,16322,,,,1380,1542,1416.0,AEKEPN_24205,HMDFDK_22280,DGIGOC_25925,OELDID_05605,NDFCFG_23275,NFOGGK_21800,DILMCD_11550,CJMOAC_09200,GGGPIC_16905,KLDNLM_22330,10_refound_45120,11_refound_49360,CELEIN_21655,13_refound_57731,OFJEOJ_08595,15_refound_66057,16_refound_69044
group_14551,;cheB,Protein-glutamate methylesterase/protein-glutamine glutaminase;chemotaxis response regulator protein-glutamate methylesterase;Chemotaxis response regulator CheB contains REC and protein-glutamate methylesterase domains,17,17,1.0,1,16316,,,,1098,1155,1143.1764705882354,AEKEPN_08070,HMDFDK_07890,DGIGOC_09870,OELDID_21660,NDFCFG_21400,NFOGGK_09205,DILMCD_25960,CJMOAC_29680,GGGPIC_19700,KLDNLM_09725,KAGCPN_09070,NDMAAC_09065,CELEIN_08335,FNPKGJ_22170,OFJEOJ_22120,OGPOLJ_22040,MOKLEP_04810
group_14550,,hypothetical protein,17,17,1.0,1,16315,,,,567,594,592.4117647058823,AEKEPN_00280,HMDFDK_15200,DGIGOC_17580,OELDID_13950,NDFCFG_00285,NFOGGK_01495,DILMCD_03265,CJMOAC_00360,GGGPIC_01215,KLDNLM_00670,KAGCPN_01420,NDMAAC_01415,CELEIN_00365,FNPKGJ_00325,OFJEOJ_29900,OGPOLJ_00320,MOKLEP_10270
bioB,bioB,biotin synthase BioB,17,17,1.0,1,16312,,,,1056,1056,1056.0,AEKEPN_28880,HMDFDK_17815,DGIGOC_20770,OELDID_10760,NDFCFG_02880,NFOGGK_26955,DILMCD_06315,CJMOAC_03505,GGGPIC_25700,KLDNLM_27400,KAGCPN_27175,NDMAAC_27175,CELEIN_27015,FNPKGJ_28450,OFJEOJ_02750,OGPOLJ_28210,MOKLEP_08720
nudF,;nudF,NUDIX domain-containing protein;ADP-ribose diphosphatase,17,17,1.0,1,16309,,,,618,654,622.2352941176471,AEKEPN_02480,HMDFDK_13190,DGIGOC_15430,OELDID_16100,NDFCFG_27430,NFOGGK_03645,DILMCD_01040,CJMOAC_23135,GGGPIC_03360,KLDNLM_04175,KAGCPN_03785,NDMAAC_03780,CELEIN_02495,FNPKGJ_02780,OFJEOJ_27635,OGPOLJ_02535,MOKLEP_08310
lpxD,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,17,17,1.0,1,16308,,,,1059,1059,1059.0,AEKEPN_06015,HMDFDK_10065,DGIGOC_12215,OELDID_19315,NDFCFG_24190,NFOGGK_06860,DILMCD_24145,CJMOAC_18705,GGGPIC_07330,KLDNLM_07150,KAGCPN_06695,NDMAAC_06685,CELEIN_05855,FNPKGJ_06780,OFJEOJ_24485,OGPOLJ_06440,MOKLEP_17830
fliO,fliO,flagellar biosynthetic protein FliO,17,17,1.0,1,16299,,,,414,453,439.4117647058824,AEKEPN_08005,HMDFDK_07955,DGIGOC_09945,OELDID_21585,NDFCFG_21460,NFOGGK_09130,DILMCD_29055,CJMOAC_29575,GGGPIC_19775,KLDNLM_09665,KAGCPN_09010,NDMAAC_09005,CELEIN_08210,FNPKGJ_22245,OFJEOJ_22180,OGPOLJ_22115,MOKLEP_04875
group_14535,,Cell filamentation protein Fic,17,17,1.0,1,16296,,,,1059,1059,1059.0,AEKEPN_09715,HMDFDK_24600,2_refound_8445,3_refound_12516,4_refound_16592,5_refound_20793,6_refound_24868,7_refound_29071,8_refound_33186,9_refound_37356,10_refound_41456,11_refound_45683,12_refound_49889,13_refound_54081,14_refound_58223,15_refound_62382,16_refound_66632
group_14534,,Serine protease;NfeD domain-containing protein;serine protease,17,17,1.0,1,16295,,,,534,1386,611.25,AEKEPN_00680,HMDFDK_14810,DGIGOC_17180,OELDID_14350,NDFCFG_28985,NFOGGK_01895,DILMCD_02815,7_refound_32659,8_refound_36809,KLDNLM_00245,KAGCPN_02175,NDMAAC_02175,CELEIN_00745,13_refound_57722,OFJEOJ_29420,15_refound_66049,16_refound_69037
