Gene,Non-unique Gene name,Annotation,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_14647,,ISPpu10 transposase,0_refound_2253,1_refound_6365_stop,2_refound_10590,3_refound_14666,4_refound_18731_stop,5_refound_22943,6_refound_27074,7_refound_31094_stop,8_refound_35217,9_refound_39420_stop,10_refound_43553_stop,11_refound_47786_stop,CELEIN_02455,13_refound_56378_stop,14_refound_60506_stop,15_refound_64694_stop,16_refound_68033
group_14644,,hypothetical protein,0_refound_3744,1_refound_7958,DGIGOC_17835,OELDID_13695,4_refound_20322,NFOGGK_01240,DILMCD_03520,7_refound_32693,8_refound_36856_stop,9_refound_40973_stop,10_refound_45166,11_refound_49406,CELEIN_00110,13_refound_57769_stop,14_refound_61888_stop,15_refound_66090_stop,16_refound_69101_stop
group_14641,,hypothetical protein;DUF904 domain-containing protein,AEKEPN_30365,HMDFDK_16570,DGIGOC_19455,OELDID_12075,NDFCFG_01670,NFOGGK_28270,DILMCD_05020,CJMOAC_02080,GGGPIC_27055,KLDNLM_28630,KAGCPN_28550,NDMAAC_28545,CELEIN_28310,FNPKGJ_29765,OFJEOJ_01270,OGPOLJ_29525,MOKLEP_09500
rsgA,rsgA,small ribosomal subunit biogenesis GTPase RsgA,AEKEPN_02575,HMDFDK_13030,DGIGOC_15315,OELDID_16215,NDFCFG_27335,NFOGGK_03760,DILMCD_00930,CJMOAC_23215,GGGPIC_03440,KLDNLM_04280,KAGCPN_03895,NDMAAC_03890,CELEIN_02605,FNPKGJ_02855,OFJEOJ_27555,OGPOLJ_02615,MOKLEP_08215
cysQ,cysQ,3'(2')5'-bisphosphate nucleotidase CysQ,AEKEPN_01195,HMDFDK_14160,DGIGOC_16605,OELDID_14925,NDFCFG_28525,NFOGGK_02470,DILMCD_02185,CJMOAC_21855,GGGPIC_02345,KLDNLM_03040,KAGCPN_02570,NDMAAC_02565,CELEIN_01370,FNPKGJ_01455,OFJEOJ_28710,OGPOLJ_01445,MOKLEP_09085
yceD,;yceD,Large ribosomal RNA subunit accumulation protein YceD;metal-binding protein,AEKEPN_23860,HMDFDK_07295,DGIGOC_26250,OELDID_05280,NDFCFG_22965,NFOGGK_21485,DILMCD_11880,CJMOAC_26710,GGGPIC_21140,KLDNLM_21875,KAGCPN_20940,NDMAAC_20950,CELEIN_21335,FNPKGJ_23750,OFJEOJ_21425,OGPOLJ_23505,MOKLEP_05105
group_14633,,sorbosone dehydrogenase;GSDH domain-containing protein,AEKEPN_08535,HMDFDK_22370,DGIGOC_09465,OELDID_22065,NDFCFG_20975,NFOGGK_09610,DILMCD_26325,CJMOAC_09280,GGGPIC_20105,KLDNLM_10080;KLDNLM_10085,KAGCPN_22040,NDMAAC_22045,CELEIN_08715,FNPKGJ_22575,OFJEOJ_08670,OGPOLJ_22445,16_refound_69092_stop
group_14626,,twitching motility protein PilT,AEKEPN_29645,HMDFDK_17170,DGIGOC_20040,OELDID_11490,NDFCFG_02250,NFOGGK_27685,DILMCD_05615,CJMOAC_02750,GGGPIC_26465,KLDNLM_28090,KAGCPN_27920,NDMAAC_27920,CELEIN_27720,FNPKGJ_29180,OFJEOJ_01855,OGPOLJ_28930,MOKLEP_11955
group_14625,argC,N-acetyl-gamma-glutamyl-phosphate reductase,AEKEPN_28480,HMDFDK_18195,DGIGOC_21125,OELDID_10405,NDFCFG_03310,NFOGGK_26600,DILMCD_06680,CJMOAC_03925,GGGPIC_25375,KLDNLM_27000,KAGCPN_26810,NDMAAC_26810,CELEIN_26635,FNPKGJ_28105,OFJEOJ_03330,OGPOLJ_27865,MOKLEP_13075
group_14622,,hypothetical protein,AEKEPN_30385,HMDFDK_16550,DGIGOC_19435,OELDID_12095,NDFCFG_01650,NFOGGK_28290,DILMCD_05000,CJMOAC_02060,8_refound_36845,KLDNLM_28650,KAGCPN_28570,NDMAAC_28565,CELEIN_28330,FNPKGJ_29785,OFJEOJ_01250,OGPOLJ_29545,MOKLEP_09520
zapA,zapA,cell division protein ZapA,AEKEPN_30370,HMDFDK_16565,DGIGOC_19450,OELDID_12080,NDFCFG_01665,NFOGGK_28275,DILMCD_05015,CJMOAC_02075,GGGPIC_27060,KLDNLM_28635,KAGCPN_28555,NDMAAC_28550,CELEIN_28315,FNPKGJ_29770,OFJEOJ_01265,OGPOLJ_29530,MOKLEP_09505
group_14620,leuS,leucine--tRNA ligase,AEKEPN_27725,HMDFDK_18915,DGIGOC_21920,OELDID_09610,NDFCFG_04050,NFOGGK_25805,DILMCD_07475,CJMOAC_04720,GGGPIC_24580,KLDNLM_26175,KAGCPN_25850,NDMAAC_25860,CELEIN_25840,FNPKGJ_27365,OFJEOJ_04105,OGPOLJ_27120,MOKLEP_08080
group_14619,,Pas pac sensor protein;PAS domain-containing protein,AEKEPN_04520,HMDFDK_11110,DGIGOC_13290,OELDID_18240,NDFCFG_25545,NFOGGK_05785,DILMCD_23035,CJMOAC_19880,GGGPIC_23270,KLDNLM_06235,KAGCPN_24390,NDMAAC_24400,CELEIN_04700,FNPKGJ_26055,OFJEOJ_25560,OGPOLJ_25760,16_refound_69088_stop
group_14611,,ABC transporter substrate-binding protein,AEKEPN_28015,HMDFDK_18660,DGIGOC_21635,OELDID_09895,NDFCFG_03775,NFOGGK_26090,DILMCD_07170,CJMOAC_04420,GGGPIC_24870,KLDNLM_26475,KAGCPN_26315,NDMAAC_26315,CELEIN_26140,FNPKGJ_27645,OFJEOJ_03710,OGPOLJ_27405,16_refound_69081_stop
holA,holA,DNA polymerase III subunit delta,AEKEPN_27735,HMDFDK_18905,DGIGOC_21910,OELDID_09620,NDFCFG_04040,NFOGGK_25815,DILMCD_07465,CJMOAC_04710,GGGPIC_24590,KLDNLM_26185,KAGCPN_25860,NDMAAC_25870,CELEIN_25850,FNPKGJ_27375,OFJEOJ_04095,OGPOLJ_27130,MOKLEP_08090
mreB,mreB,rod shape-determining protein MreB,AEKEPN_04215,HMDFDK_11385,DGIGOC_13570,OELDID_17960,NDFCFG_25825,NFOGGK_05505,DILMCD_22745,CJMOAC_20165,GGGPIC_05260,KLDNLM_05915,KAGCPN_05540,NDMAAC_05530,CELEIN_04410,FNPKGJ_04730,OFJEOJ_25835,OGPOLJ_04400,MOKLEP_14515
group_14607,,MlaA lipoprotein;Putative phospholipid-binding lipoprotein MlaA,AEKEPN_09885,HMDFDK_24770,DGIGOC_27780,OELDID_03750,NDFCFG_09410,NFOGGK_19955,DILMCD_13380,CJMOAC_27690,GGGPIC_08730,KLDNLM_12240,KAGCPN_10640,NDMAAC_10635,CELEIN_19805,FNPKGJ_08250,OFJEOJ_20255,OGPOLJ_07920,MOKLEP_16735
group_14605,,Pilus assembly protein PilP,AEKEPN_01975,HMDFDK_13560,DGIGOC_15860,OELDID_15670,NDFCFG_27825,NFOGGK_03215,DILMCD_01470,CJMOAC_22670,8_refound_36842_stop,KLDNLM_03725,KAGCPN_03240,NDMAAC_03235,CELEIN_02050,13_refound_57754_stop,OFJEOJ_28050,15_refound_66078_stop,MOKLEP_12770
ftsK,;ftsK,cell division protein FtsK;DNA translocase FtsK,AEKEPN_20790,HMDFDK_25300,DGIGOC_07130,OELDID_24400,NDFCFG_10520,NFOGGK_11945,DILMCD_15040,CJMOAC_12120,GGGPIC_17035,KLDNLM_19455,KAGCPN_18500,NDMAAC_18495,CELEIN_18075,FNPKGJ_17955,OFJEOJ_11880,OGPOLJ_18915,MOKLEP_18205
mnmA,mnmA,tRNA 2-thiouridine(34) synthase MnmA,AEKEPN_20845,HMDFDK_25245,DGIGOC_07190,OELDID_24340,NDFCFG_10460,NFOGGK_11885,DILMCD_14975,CJMOAC_12065,GGGPIC_17085,KLDNLM_19510,KAGCPN_18560,NDMAAC_18555,CELEIN_18135,FNPKGJ_18005,OFJEOJ_11825,OGPOLJ_18965,MOKLEP_18150
group_14595,,Leucyl-tRNA synthetase,AEKEPN_25660,HMDFDK_21120,DGIGOC_24365,OELDID_07165,NDFCFG_05925,NFOGGK_23365,DILMCD_09900,CJMOAC_07580,GGGPIC_06680,KLDNLM_23815,KAGCPN_22770,NDMAAC_22775,CELEIN_23200,FNPKGJ_06190,OFJEOJ_06975,OGPOLJ_05850,MOKLEP_15435
group_14594,,NADH:quinone oxidoreductase;Electron transport complex protein rnfE,AEKEPN_25650,HMDFDK_21130,DGIGOC_24375,OELDID_07155,NDFCFG_05935,NFOGGK_23355,DILMCD_09910,CJMOAC_07590,8_refound_36838,KLDNLM_23805,10_refound_45143_stop,11_refound_49383_stop,CELEIN_23190,13_refound_57749_stop,OFJEOJ_06985,15_refound_66074_stop,16_refound_69079
group_14592,,peptidase C13,AEKEPN_27860,HMDFDK_18795,DGIGOC_21795,OELDID_09735,NDFCFG_03920,NFOGGK_25930,DILMCD_07320,CJMOAC_04600,GGGPIC_24705,KLDNLM_26295,KAGCPN_25970,NDMAAC_25980,CELEIN_25985,FNPKGJ_27490,OFJEOJ_03985,OGPOLJ_27245,MOKLEP_08195
cobB,cobB;,cobyrinate ac-diamide synthase,AEKEPN_08550,HMDFDK_22380,DGIGOC_09450,OELDID_22080,NDFCFG_20965,NFOGGK_09625,DILMCD_26340,CJMOAC_09295,GGGPIC_20095,KLDNLM_10100,KAGCPN_22025,NDMAAC_22030,CELEIN_08730,FNPKGJ_22565,OFJEOJ_08685,OGPOLJ_22435,MOKLEP_16030
group_14587,,cyanate transporter,AEKEPN_25945,HMDFDK_10720,DGIGOC_12870,OELDID_18660,NDFCFG_05680,NFOGGK_06205,DILMCD_23470,CJMOAC_19370,GGGPIC_05960,KLDNLM_06585,KAGCPN_23700,NDMAAC_23710,CELEIN_05165,FNPKGJ_05440,OFJEOJ_25135,OGPOLJ_05110,16_refound_69074
group_14585,,DUF2914 domain-containing protein,AEKEPN_00175,HMDFDK_15020,DGIGOC_17760,OELDID_13770,NDFCFG_00385,NFOGGK_01315,DILMCD_03445,CJMOAC_00175,GGGPIC_01390,KLDNLM_00840,KAGCPN_01230,NDMAAC_01225,CELEIN_00185,FNPKGJ_00495,OFJEOJ_29720,OGPOLJ_00490,16_refound_66421
lysM,lysM,peptidoglycan-binding protein LysM;Peptidoglycan-binding protein LysM,AEKEPN_01180,HMDFDK_14175,DGIGOC_16620,OELDID_14910,NDFCFG_28540,NFOGGK_02455,DILMCD_02200,CJMOAC_21840,GGGPIC_02330,KLDNLM_03025,KAGCPN_02555,NDMAAC_02550,CELEIN_01355,FNPKGJ_01440,OFJEOJ_28725,OGPOLJ_01430,16_refound_69071
ccmC,ccmC,heme ABC transporter permease,AEKEPN_08155,HMDFDK_07835,DGIGOC_09815,OELDID_21715,NDFCFG_21335,NFOGGK_09260,DILMCD_26015,CJMOAC_29735,GGGPIC_09460,KLDNLM_09780,KAGCPN_09125,NDMAAC_09120,CELEIN_08405,FNPKGJ_09485,OFJEOJ_22065,OGPOLJ_08840,MOKLEP_04750
ftsY,ftsY,signal recognition particle-docking protein FtsY,AEKEPN_29740,HMDFDK_17075,DGIGOC_19945,OELDID_11585,NDFCFG_02160,NFOGGK_27780,DILMCD_05520,CJMOAC_02650,GGGPIC_26555,KLDNLM_28185,KAGCPN_28015,NDMAAC_28015,CELEIN_27820,FNPKGJ_29270,OFJEOJ_01755,OGPOLJ_29020,MOKLEP_11845
rsd,rsd,sigma D regulator,AEKEPN_30550,HMDFDK_16405,DGIGOC_19225,OELDID_12305,NDFCFG_01525,NFOGGK_28500,DILMCD_04820,CJMOAC_01925,GGGPIC_27265,KLDNLM_28840,KAGCPN_28750,NDMAAC_28745,CELEIN_28525,FNPKGJ_30005,OFJEOJ_01090,OGPOLJ_29760,MOKLEP_12630
ccoS,ccoS,cbb3-type cytochrome oxidase assembly protein CcoS,AEKEPN_09600,HMDFDK_24485,DGIGOC_08510,OELDID_23020,NDFCFG_09025,NFOGGK_10565,DILMCD_27275,CJMOAC_27400,GGGPIC_20445,KLDNLM_11140,KAGCPN_10350,NDMAAC_10345,CELEIN_09655,FNPKGJ_22925,OFJEOJ_20535,OGPOLJ_22790,MOKLEP_02130
group_14577,,Fic family protein,0_refound_624,1_refound_4821,DGIGOC_15300,OELDID_16230,4_refound_17469,NFOGGK_03775,6_refound_25686_stop,7_refound_29929,8_refound_34088_stop,9_refound_38195_stop,10_refound_42318,11_refound_46548,12_refound_50706_stop,13_refound_54990_stop,14_refound_59053,15_refound_63305_stop,16_refound_67295
group_14575,,hypothetical protein,AEKEPN_07235,HMDFDK_08545,DGIGOC_25770,OELDID_05760,NDFCFG_22210,NFOGGK_21955,DILMCD_25590,CJMOAC_16995,GGGPIC_08475,KLDNLM_08850,KAGCPN_08415,NDMAAC_08410,CELEIN_07415,FNPKGJ_07985,OFJEOJ_23020,OGPOLJ_07655,16_refound_69066
group_14573,pyrC,dihydroorotase,AEKEPN_25685,HMDFDK_21095,DGIGOC_24340,OELDID_07190,NDFCFG_05900,NFOGGK_23390,DILMCD_09875,CJMOAC_07560,GGGPIC_06660,KLDNLM_23840,KAGCPN_22795,NDMAAC_22800,CELEIN_23225,FNPKGJ_06170,OFJEOJ_06955,OGPOLJ_05830,MOKLEP_15415
group_14571,,MerR family transcriptional regulator,AEKEPN_03400,HMDFDK_12225,2_refound_12102,3_refound_16177,NDFCFG_26590,5_refound_24447,DILMCD_00070,7_refound_32671,8_refound_36829_stop,KLDNLM_05100,KAGCPN_04650,NDMAAC_04645,CELEIN_03530,13_refound_57740,14_refound_61861,15_refound_66065,16_refound_69061
group_14570,flgI,Flagellar P-ring protein,AEKEPN_07875,HMDFDK_08085,DGIGOC_10165,OELDID_21365,NDFCFG_21590,NFOGGK_08910,DILMCD_28825,CJMOAC_29400,GGGPIC_19905,KLDNLM_09445,KAGCPN_08870,NDMAAC_08865,CELEIN_07995,FNPKGJ_22375,OFJEOJ_22385,OGPOLJ_22245,MOKLEP_05520
group_14568,,DNA-binding response regulator;Transcriptional regulatory protein OmpR,AEKEPN_24075,1_refound_7927_stop,DGIGOC_26040,OELDID_05490,NDFCFG_23155,NFOGGK_21685,DILMCD_11665,CJMOAC_30090,GGGPIC_09810,KLDNLM_22205,KAGCPN_21245,NDMAAC_21250,CELEIN_21540,FNPKGJ_09940,OFJEOJ_21645,OGPOLJ_09295,16_refound_69058
crp,crp,cAMP-activated global transcriptional regulator CRP,AEKEPN_28525,HMDFDK_18155,DGIGOC_21080,OELDID_10450,NDFCFG_03265,NFOGGK_26645,DILMCD_06635,CJMOAC_03885,GGGPIC_25415,KLDNLM_27045,KAGCPN_26850,NDMAAC_26850,CELEIN_26680,FNPKGJ_28145,OFJEOJ_03290,OGPOLJ_27905,MOKLEP_13040
trpD,trpD,Anthranilate phosphoribosyltransferase,AEKEPN_28540,HMDFDK_18140,DGIGOC_21065,OELDID_10465,NDFCFG_03250,NFOGGK_26660,DILMCD_06620,CJMOAC_03870,GGGPIC_25430,KLDNLM_27060,KAGCPN_26865,NDMAAC_26865,CELEIN_26695,FNPKGJ_28160,OFJEOJ_03275,OGPOLJ_27920,MOKLEP_13030
group_14567,,peptidase P60,AEKEPN_08525,HMDFDK_22355,DGIGOC_09475,OELDID_22055,NDFCFG_20990,NFOGGK_09600,DILMCD_26315,CJMOAC_09265,GGGPIC_20115,KLDNLM_10065,KAGCPN_22050,NDMAAC_22055,CELEIN_08705,FNPKGJ_22585,OFJEOJ_08660,OGPOLJ_22455,16_refound_69056_stop
aat,aat,leucyl/phenylalanyl-tRNA--protein transferase,AEKEPN_20800,HMDFDK_25290,DGIGOC_07140,OELDID_24390,NDFCFG_10505,NFOGGK_11935,DILMCD_15025,CJMOAC_12110,GGGPIC_17040,KLDNLM_19465,KAGCPN_18510,NDMAAC_18505,CELEIN_18090,FNPKGJ_17960,OFJEOJ_11870,OGPOLJ_18920,MOKLEP_18195
group_14566,,antibiotic biosynthesis monooxygenase,AEKEPN_04505,HMDFDK_11125,DGIGOC_13305,OELDID_18225,NDFCFG_25560,NFOGGK_05770,DILMCD_23020,CJMOAC_19895,GGGPIC_23285,KLDNLM_06220,KAGCPN_24405,NDMAAC_24415,CELEIN_04685,FNPKGJ_26070,OFJEOJ_25575,OGPOLJ_25775,16_refound_69053
group_14560,,hypothetical protein,AEKEPN_17140,HMDFDK_00485,DGIGOC_05060,OELDID_26470,NDFCFG_16235,NFOGGK_14010,DILMCD_17030,CJMOAC_25450,GGGPIC_13740,KLDNLM_16315,KAGCPN_17700,NDMAAC_17695,CELEIN_16050,FNPKGJ_14005,OFJEOJ_13300,OGPOLJ_14875,16_refound_69047_stop
group_14557,,DUF423 domain-containing protein,AEKEPN_29715,HMDFDK_17100,DGIGOC_19970,OELDID_11560,NDFCFG_02185,NFOGGK_27755,DILMCD_05545,CJMOAC_02675,GGGPIC_26530,KLDNLM_28160,KAGCPN_27990,NDMAAC_27990,CELEIN_27795,FNPKGJ_29245,OFJEOJ_01780,OGPOLJ_28995,MOKLEP_11880
lptA,lptA,lipopolysaccharide transport periplasmic protein LptA,AEKEPN_04320,HMDFDK_11280,DGIGOC_13465,OELDID_18065,NDFCFG_25720,NFOGGK_05610,DILMCD_22850,CJMOAC_20060,GGGPIC_05365,KLDNLM_06020,KAGCPN_05645,NDMAAC_05635,CELEIN_04515,FNPKGJ_04835,OFJEOJ_25730,OGPOLJ_04505,MOKLEP_14600
rpoN,rpoN,RNA polymerase factor sigma-54,AEKEPN_04310,HMDFDK_11290,DGIGOC_13475,OELDID_18055,NDFCFG_25730,NFOGGK_05600,DILMCD_22840,CJMOAC_20070,GGGPIC_05355,KLDNLM_06010,KAGCPN_05635,NDMAAC_05625,CELEIN_04505,FNPKGJ_04825,OFJEOJ_25740,OGPOLJ_04495,MOKLEP_14590
group_14556,,two-component sensor histidine kinase,AEKEPN_24205,HMDFDK_22280,DGIGOC_25925,OELDID_05605,NDFCFG_23275,NFOGGK_21800,DILMCD_11550,CJMOAC_09200,GGGPIC_16905,KLDNLM_22330,10_refound_45120_stop,11_refound_49360_stop,CELEIN_21655,13_refound_57731_stop,OFJEOJ_08595,15_refound_66057,16_refound_69044_stop
group_14551,;cheB,Protein-glutamate methylesterase/protein-glutamine glutaminase;chemotaxis response regulator protein-glutamate methylesterase;Chemotaxis response regulator CheB contains REC and protein-glutamate methylesterase domains,AEKEPN_08070,HMDFDK_07890,DGIGOC_09870,OELDID_21660,NDFCFG_21400,NFOGGK_09205,DILMCD_25960,CJMOAC_29680,GGGPIC_19700,KLDNLM_09725,KAGCPN_09070,NDMAAC_09065,CELEIN_08335,FNPKGJ_22170,OFJEOJ_22120,OGPOLJ_22040,MOKLEP_04810
group_14550,,hypothetical protein,AEKEPN_00280,HMDFDK_15200,DGIGOC_17580,OELDID_13950,NDFCFG_00285,NFOGGK_01495,DILMCD_03265,CJMOAC_00360,GGGPIC_01215,KLDNLM_00670,KAGCPN_01420,NDMAAC_01415,CELEIN_00365,FNPKGJ_00325,OFJEOJ_29900,OGPOLJ_00320,MOKLEP_10270
bioB,bioB,biotin synthase BioB,AEKEPN_28880,HMDFDK_17815,DGIGOC_20770,OELDID_10760,NDFCFG_02880,NFOGGK_26955,DILMCD_06315,CJMOAC_03505,GGGPIC_25700,KLDNLM_27400,KAGCPN_27175,NDMAAC_27175,CELEIN_27015,FNPKGJ_28450,OFJEOJ_02750,OGPOLJ_28210,MOKLEP_08720
nudF,;nudF,NUDIX domain-containing protein;ADP-ribose diphosphatase,AEKEPN_02480,HMDFDK_13190,DGIGOC_15430,OELDID_16100,NDFCFG_27430,NFOGGK_03645,DILMCD_01040,CJMOAC_23135,GGGPIC_03360,KLDNLM_04175,KAGCPN_03785,NDMAAC_03780,CELEIN_02495,FNPKGJ_02780,OFJEOJ_27635,OGPOLJ_02535,MOKLEP_08310
lpxD,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,AEKEPN_06015,HMDFDK_10065,DGIGOC_12215,OELDID_19315,NDFCFG_24190,NFOGGK_06860,DILMCD_24145,CJMOAC_18705,GGGPIC_07330,KLDNLM_07150,KAGCPN_06695,NDMAAC_06685,CELEIN_05855,FNPKGJ_06780,OFJEOJ_24485,OGPOLJ_06440,MOKLEP_17830
fliO,fliO,flagellar biosynthetic protein FliO,AEKEPN_08005,HMDFDK_07955,DGIGOC_09945,OELDID_21585,NDFCFG_21460,NFOGGK_09130,DILMCD_29055,CJMOAC_29575,GGGPIC_19775,KLDNLM_09665,KAGCPN_09010,NDMAAC_09005,CELEIN_08210,FNPKGJ_22245,OFJEOJ_22180,OGPOLJ_22115,MOKLEP_04875
group_14535,,Cell filamentation protein Fic,AEKEPN_09715,HMDFDK_24600,2_refound_8445_stop,3_refound_12516_stop,4_refound_16592,5_refound_20793_stop,6_refound_24868_stop,7_refound_29071,8_refound_33186,9_refound_37356,10_refound_41456,11_refound_45683,12_refound_49889_stop,13_refound_54081,14_refound_58223,15_refound_62382,16_refound_66632_stop
group_14534,,Serine protease;NfeD domain-containing protein;serine protease,AEKEPN_00680,HMDFDK_14810,DGIGOC_17180,OELDID_14350,NDFCFG_28985,NFOGGK_01895,DILMCD_02815,7_refound_32659,8_refound_36809_stop,KLDNLM_00245,KAGCPN_02175,NDMAAC_02175,CELEIN_00745,13_refound_57722_stop,OFJEOJ_29420,15_refound_66049_stop,16_refound_69037_stop
truD,truD,tRNA pseudouridine(13) synthase TruD,AEKEPN_06100,HMDFDK_09985,DGIGOC_12130,OELDID_19400,NDFCFG_24105,NFOGGK_06945,DILMCD_24230,CJMOAC_18620,GGGPIC_07420,KLDNLM_07235,KAGCPN_06780,NDMAAC_06770,CELEIN_05940,FNPKGJ_06870,OFJEOJ_24400,OGPOLJ_06525,MOKLEP_17925
group_14532,flgM,flagellar biosynthesis anti-sigma factor FlgM,AEKEPN_24370,HMDFDK_08840,DGIGOC_10725,OELDID_20805,NDFCFG_23445,NFOGGK_08350,DILMCD_11380,CJMOAC_09025,GGGPIC_21265,KLDNLM_22515,KAGCPN_22265,NDMAAC_22270,CELEIN_21820,FNPKGJ_23875,OFJEOJ_08435,OGPOLJ_23630,MOKLEP_05575
murI,murI,glutamate racemase,AEKEPN_26600,HMDFDK_19895,DGIGOC_23055,OELDID_08475,NDFCFG_05110,NFOGGK_24670,DILMCD_08650,CJMOAC_06170,GGGPIC_04630,KLDNLM_25100,KAGCPN_24635,NDMAAC_24645,CELEIN_24655,FNPKGJ_04095,OFJEOJ_05580,OGPOLJ_03775,MOKLEP_06530
group_14530,,Acyl-CoA thioesterase 2;acyl-CoA thioesterase II,AEKEPN_23245,HMDFDK_23175,DGIGOC_26885,OELDID_04645,NDFCFG_22360,NFOGGK_20850,DILMCD_12490,CJMOAC_10020,GGGPIC_09090,KLDNLM_21240,KAGCPN_09505,NDMAAC_09500,CELEIN_20705,FNPKGJ_09110,OFJEOJ_09425,OGPOLJ_08450,MOKLEP_03630
rpsF,rpsF,30S ribosomal protein S6,AEKEPN_02685,HMDFDK_12920,DGIGOC_15200,OELDID_16330,NDFCFG_27225,NFOGGK_03875,DILMCD_00800,CJMOAC_23325,GGGPIC_03550,KLDNLM_04390,KAGCPN_04000,NDMAAC_03995,CELEIN_02735,FNPKGJ_02965,OFJEOJ_27445,OGPOLJ_02725,MOKLEP_07715
rnr,rnr,ribonuclease R,AEKEPN_02675,HMDFDK_12930,DGIGOC_15210,OELDID_16320,NDFCFG_27235,NFOGGK_03865,DILMCD_00810,CJMOAC_23315,GGGPIC_03540,KLDNLM_04380,KAGCPN_03990,NDMAAC_03985,CELEIN_02725,FNPKGJ_02955,OFJEOJ_27455,OGPOLJ_02715,MOKLEP_07730
group_14529,,DNA polymerase III subunit chi;hypothetical protein,AEKEPN_05250,HMDFDK_10670,DGIGOC_12825,OELDID_18705,NDFCFG_24890,NFOGGK_06250,DILMCD_23515,7_refound_32657_stop,GGGPIC_06190,KLDNLM_06635,KAGCPN_23655,NDMAAC_23665,CELEIN_05235,FNPKGJ_05675,14_refound_61849,OGPOLJ_05340,MOKLEP_16485
group_14528,,amino acid ABC transporter substrate-binding protein,AEKEPN_01530,HMDFDK_13940,DGIGOC_16255,OELDID_15275,NDFCFG_28220,NFOGGK_02820,DILMCD_01865,CJMOAC_22245,GGGPIC_02555,KLDNLM_03310,KAGCPN_02820,NDMAAC_02815,CELEIN_01655,FNPKGJ_01925,OFJEOJ_28475,OGPOLJ_01685,MOKLEP_09585
ruvB,ruvB,Holliday junction branch migration DNA helicase RuvB,AEKEPN_25140,HMDFDK_21595,DGIGOC_24915,OELDID_06615,NDFCFG_06425,NFOGGK_22810,DILMCD_10460,CJMOAC_08020,GGGPIC_22245,KLDNLM_23275,KAGCPN_23045,NDMAAC_23050,CELEIN_22670,FNPKGJ_24805,OFJEOJ_07455,OGPOLJ_24545,MOKLEP_06045
group_14526,,MFS transporter,AEKEPN_07250,HMDFDK_08535,DGIGOC_25785,OELDID_05745,NDFCFG_22195,NFOGGK_21940,DILMCD_25605,CJMOAC_16980,GGGPIC_08485,KLDNLM_08865,KAGCPN_08430,NDMAAC_08425,CELEIN_07430,FNPKGJ_08000,OFJEOJ_23005,OGPOLJ_07670,MOKLEP_16970
glmU,glmU,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,AEKEPN_31390,1_refound_7909,DGIGOC_18055,OELDID_13475,NDFCFG_00645,NFOGGK_01020,DILMCD_03715,CJMOAC_00795,GGGPIC_00820,KLDNLM_01195,KAGCPN_00835,NDMAAC_00830,CELEIN_29595,FNPKGJ_30955,OFJEOJ_30300,OGPOLJ_30695,MOKLEP_10415
group_14524,lgt,prolipoprotein diacylglyceryl transferase,AEKEPN_30030,HMDFDK_16880,DGIGOC_19760,OELDID_11770,NDFCFG_01980,NFOGGK_27965,DILMCD_05340,CJMOAC_02450,GGGPIC_26750,KLDNLM_28325,KAGCPN_02260,NDMAAC_02260,CELEIN_28000,FNPKGJ_29445,OFJEOJ_01585,OGPOLJ_29195,MOKLEP_08525
group_14523,hisC,histidinol-phosphate transaminase,AEKEPN_04385,HMDFDK_11215,DGIGOC_13400,OELDID_18130,NDFCFG_25655,NFOGGK_05675,DILMCD_22915,CJMOAC_19995,GGGPIC_05430,KLDNLM_06085,KAGCPN_05710,NDMAAC_05700,CELEIN_04580,FNPKGJ_04900,OFJEOJ_25665,OGPOLJ_04570,MOKLEP_14670
group_14518,,Chemotaxis protein CheW;chemotaxis protein CheW;CheW-like domain-containing protein,AEKEPN_08090,HMDFDK_07870,DGIGOC_09850,OELDID_21680,NDFCFG_21380,NFOGGK_09225,DILMCD_25980,CJMOAC_29700,GGGPIC_19680,KLDNLM_09745,KAGCPN_09090,NDMAAC_09085,CELEIN_08355,FNPKGJ_22150,OFJEOJ_22100,OGPOLJ_22020,MOKLEP_04790
motD,motD,flagellar motor protein MotD,AEKEPN_08080,HMDFDK_07880,DGIGOC_09860,OELDID_21670,NDFCFG_21390,NFOGGK_09215,DILMCD_25970,CJMOAC_29690,GGGPIC_19690,KLDNLM_09735,KAGCPN_09080,NDMAAC_09075,CELEIN_08345,FNPKGJ_22160,OFJEOJ_22110,OGPOLJ_22030,MOKLEP_04800
group_14514,,chemotaxis protein CheA,AEKEPN_08065,HMDFDK_07895,DGIGOC_09875,OELDID_21655,NDFCFG_21405,NFOGGK_09200,DILMCD_25955,CJMOAC_29675,GGGPIC_19705,KLDNLM_09720,KAGCPN_09065,NDMAAC_09060,CELEIN_08330,FNPKGJ_22175,OFJEOJ_22125,OGPOLJ_22045,MOKLEP_04815
